3,Activity Analysis,<p>&quot;An assessment of a workplace which is designed to gather information about the activities engaged in there and ways in which they can potentially be made more efficient or valuable&quot;</p>\r\n,"<p>&ldquo;To understand the operator&rsquo;s behavior, operating strategies, thought processes and interactions with others in a given situation. &rdquo;</p>\r\n","<p>1. Garrigou, A., Daniellous, F., Carballeda, G., Ruaud, S. Activity analysis in participatory design and analysis of participatory design activity.1995.<br />\r\n	2. Smith. WiseGeek. http://www.wisegeek.com/what-is-an-activity-analysis.htm.<br />\r\n	3. Kuhaneck, M. Heather, &quot;Activity Analysis, Creativity and Playfulness in Pediatric Occupational Therapy: Making Play Just Right&quot;</p>\r\n",,,,,,,,1299193403,1313008633
4,Activity Modeling,"<p>This process is best used during the observe phase of design, as creating an activity model will allow the designer to gather information on processes and interactions performed by the target audience.</p>",<p>&quot;To capture and succinctly represent the salient information regarding activities that is most relevant to interaction design.&quot;</p>\r\n,"<p>Constantine, Larry L. Activity Modeling: Toward a Pragmatic Integration of Activity Theory with Usage-Centered Design. 2006.</p>\r\n",,,,,,,,1299241231,1312277277
7,Autoethnography,"According to Cunningham and Jones' article, autoethnography is an ethnography (empirical first-hand research) focused on the self. It is a process in which the author is both the informant and the investigator.\r\n",,"Unless otherwise noted, all information comes from\r\n\r\nCunningham, Sally Jo. Jones, Matt. \""Autoethnography: A tool for practice and education\""\r\nCategory: Observe",,,,,,,,1299528131,1310672476
19,Low-Fidelity Prototypes,"Low Fidelity (Lo-Fi) Prototypes essentially are paper prototypes that are extremely quick to make and that allow designers to demonstrate the behavior of an interface very early in development, and test designs with real users.  <ref name= \""def\"">Rettig, Marc. \""Prototyping for Tiny Fingers.\"" Communications of the ACM 37 (1994). Web.</ref>",,,,,,,,,,1303995834,1310142170
20,Technology Probe,"Technology Probes are used to stimulate innovative thought about a very broad area of how technology can help individuals or groups interact and communicate. As the objective is to use the users' inspiration to think of crazy new ideas, the tech probes should be used with the intention of developing a new product.",,"Hutchinson, Hilary, Wendy Mackay, Bosse Westerlund, and Et. Al. Technology Probes: Inspiring Design for and with Families. Domesticated Design 5.1 (2003): 17-24. Print.",,,,,,,,1304409159,1304409159
21,Behavioral Archaeology,"Behavioral archaeology is the study of material objects regardless of time or space in order to describe and explain human behavior (Deetz 1972; Leone 1972; Longacre 1972; Reid and Schiffer 1973). It follows the theory that artifacts, architecture and other items in a  living space are the product of human behavior. \r\n","There are Four Strategies Based on Question Type:\r\n\r\n**1. Past Human Behavior?\r\nUses: Prehistoric, Historical, and classical archaeologies\r\n\r\n\r\n**2. Investigation of present to understand laws of the past.\r\nUses: Ethnoarchaeology and experimental archaeology. \r\n\r\n\r\n**3. Developing laws that represent both past and present human behavior. \r\nUses: Long-term behavioral change\r\n\r\n\r\n**4. Questions about ongoing societies. \r\nUses: Good for those with an interested in explanation of modern behavior\r\n\r\n*Explain Behavior through different scales\r\n\r\n**1.	Interaction scale: focus on regularity and variation in person-object interactions. Universal \r\nprinciples of behavior might be discovered. \r\n\r\n**2.	Activity Scale: variation in activities performed by individuals, or groups is examined. An activity may be a patterned behavior of material elements. \r\n\r\n**3.	Systemic scale: in an organization of one or more behavioral systems (a set of patterned activities that make up a human group such as household, community, etc.)\r\nMay investigate how activities develop within a certain behavioral system. ",,,,,,,,,1304603293,1310574455
23,Coding System,"Coding your qualitative research is useful to quantitatively understand your information. This system can be applied to videotaped observations, interviews, written texts, visual images, or any interpretable artifacts.",,http://onlinelibrary.wiley.com/doi/10.1525/maq.1990.4.4.02a00020/pdf\r\n\r\nhttp://www.abdsurvivalguide.com/News/020603.htm\r\n\r\nhttp://www.planotes.org/documents/plan_04704.pdf,,,,,,,,1307616116,1307617291
24,Active Listening,"<p>Active listening is a specific communication skill, based on the work of psychologist Carl Rogers, which involves giving free and undivided attention to the speaker. In design, it&#39;s especially useful when conducting interviews.</p>\r\n","<p>Susan Knights defines free attention as: &lsquo;... placing all of one&rsquo;s attention and awareness at the disposal of another person, listening with interest and appreciating without interrupting.&#39;<br />\r\n	<br />\r\n	As Carl Rogers said in 1980: &lsquo;Attentive listening means giving one&rsquo;s total and undivided attention to the other person and tells the other that we are interested and concerned. Listening is difficult work that we will not undertake unless we have deep respect and care for the other... we listen not only with our ears, but with our eyes, mind, heart and imagination, as well. We listen to what is going on within ourselves, as well as to what is taking place in the person we are hearing. We listen to the words of the other, but we also listen to the messages buried in the words. We listen to the voice, the appearance, and the body language of the other... We simply try to absorb everything the speaker is saying verbally and nonverbally without adding, subtracting, or amending&rsquo;.</p>\r\n<p>&nbsp;</p>\r\n","<p>Robertson K (2005). &quot;Active listening: more than just paying attention&quot;. Aust Fam Physician 34 (12): 1053&ndash;5 <a class=\""external\"" href=\""http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=16333490\"" title=\""http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=16333490\"">PMID 16333490</a></p>\r\n<p>Kelly, Melissa, &quot;About.com Guide: <a href=\""http://712educators.about.com/cs/activelistening/a/activelistening_2.htm\"">Active Listening, Steps and Instructions</a>&quot;</p>\r\n",,,,,,,,1311156051,1312444420
25,Behavior Sampling,"<p>\""This is a useful way to discover how products and services get integrated into people's routines in unanticipated ways\""</p>",,"<p>&quot;Behavior Sampling,&quot; IDEO Method Cards. <a class=\""internal\"" href=\""http://roschuni.com/wiki/index.php/Special:BookSources/0954413210\"">ISBN 0-9544132-1-0</a></p>\r\n",,,,,,,,1311156986,1312279537
26,Canonical Abstract Prototyping,"<p>\""An extension to usage-centered design that provides a formal vocabulary for expressing visual and interaction design without concern for details of apperance and behavior.\""</p>",,<p>Constantine and Lockwood Ltd. www.foruse.com/articles/canonical.pdf</p>\r\n,,,,,,,,1311157350,1312277726
